Relatedness	AMS
unrelated	5170
unrelated	5101
unrelated	5349
unrelated	5315
unrelated	5351
unrelated	5109
unrelated	5201
unrelated	5105
unrelated	5100
unrelated	5363
unrelated	5316
unrelated	5221
unrelated	5323
unrelated	5279
unrelated	5318
unrelated	5128
unrelated	5015
unrelated	5086
unrelated	5418
unrelated	5191
unrelated	5371
unrelated	5079
unrelated	5059
unrelated	5070
unrelated	5149
unrelated	5358
unrelated	5083
unrelated	5037
unrelated	5124
unrelated	5349
unrelated	5130
unrelated	5164
unrelated	5085
unrelated	5182
unrelated	5084
unrelated	5215
unrelated	5207
unrelated	5185
unrelated	5364
unrelated	5224
unrelated	5103
unrelated	5251
unrelated	5219
unrelated	5257
unrelated	5068
unrelated	5071
unrelated	5154
unrelated	5506
unrelated	5255
unrelated	5163
unrelated	5026
unrelated	5408
unrelated	5289
unrelated	5067
unrelated	5173
unrelated	5316
unrelated	5044
unrelated	5289
unrelated	5422
unrelated	5206
unrelated	5551
unrelated	5250
unrelated	5182
unrelated	5173
unrelated	5268
unrelated	5399
unrelated	5299
unrelated	5276
unrelated	5227
unrelated	5302
unrelated	5202
unrelated	5084
unrelated	5171
unrelated	5120
unrelated	5221
unrelated	5017
unrelated	5515
unrelated	5073
unrelated	5413
unrelated	5323
unrelated	5275
unrelated	5016
unrelated	5217
unrelated	5065
unrelated	4954
unrelated	5190
unrelated	5098
unrelated	5188
unrelated	5303
unrelated	4884
unrelated	5228
unrelated	5028
unrelated	5272
unrelated	5133
unrelated	5152
unrelated	5361
unrelated	5217
unrelated	5181
unrelated	5579
unrelated	5013
unrelated	5020
unrelated	5225
unrelated	5228
unrelated	5090
unrelated	5044
unrelated	5086
unrelated	4999
unrelated	5163
unrelated	4985
unrelated	4995
unrelated	5115
unrelated	5118
unrelated	5292
unrelated	4901
unrelated	5006
unrelated	4955
unrelated	5457
unrelated	5137
unrelated	5413
unrelated	5144
unrelated	5160
unrelated	5253
unrelated	4817
unrelated	4959
unrelated	4877
unrelated	4994
unrelated	5065
unrelated	5173
unrelated	5075
unrelated	5083
unrelated	5190
unrelated	5131
unrelated	4999
unrelated	5219
unrelated	5164
unrelated	5233
unrelated	5310
unrelated	5221
unrelated	5095
unrelated	5017
unrelated	5130
unrelated	5330
unrelated	5255
unrelated	5147
unrelated	5114
unrelated	5169
unrelated	5105
unrelated	5292
unrelated	5175
unrelated	5107
unrelated	4995
unrelated	5087
unrelated	5043
